player,Basic Reward(RMB),Total Km,Km Ranking,Km Portion,Km Reward(RMB),Average Speed,Speed Ranking,Speed Portion,Speed Reward(RMB), Total Reward(RMB)
Chusheng,46.2,55.23999999999999,3,0.2,47.60000000000001,9.14779888679332,3,0.2,46.2,140.0
Make,46.2,55.79,2,0.22857142857142856,54.400000000000006,10.081011895798826,1,0.2571428571428571,59.39999999999999,160.0
Seven,46.2,39.08,4,0.17142857142857143,40.800000000000004,8.25973111019785,5,0.14285714285714285,33.0,120.0
Xiaoye,46.2,25.009999999999998,5,0.14285714285714285,34.0,9.135146103896101,4,0.17142857142857143,39.6,119.80000000000001
Zhulin,46.2,71.13,1,0.2571428571428571,61.2,9.535917774550327,2,0.22857142857142856,52.8,160.2
