5.01,31:22,12-19
5.05,32:29,12-20
5.04,30:57,12-22
10.05,1:01:33,12-23
4.41,28:48,12-26
4.89,32:20,12-27
5.01,32:11,12-28
5.05,33:07,12-30
5.87,38:12,1-1
5.16,33:02,1-2
5.01,33:31,1-5
10.58,1:00:01,1-6
